No,Page,Pair,TF,SignalBar,Dir,Cluster,LayerTouched,DPI_Reset,Session,ApproxMFE_pips,Verdict,Note,ClusterMain
29,a-028,EURAUD,H1,2012-11-12 07:00,S,C,M34,Y,EU,50,Small,"old trend, grind",C
30,a-029,EURCHF,H1,2012-09-06 07:00,L,C,M13/34,N,EU,150,Good,news spike (SNB),C
31,a-030,GBPCHF,H1,2012-07-24 07:00,L,C,M34,Y,EU,80,Small,post-climax entry then collapse,C
32,a-031,GBPJPY,H1,2012-05-30 00:00,S,A,89,Y,Asia,500,Big,compression then breakout,A
33,a-032,EURCAD,H1,2012-10-02 05:00,L,A,89,Y,EU,130,Big,,A
34,a-033,NZDUSD,H1,2012-07-24 13:00,S,B,M34,Y,EU/US,80,Good,,B
35,a-034,GBPUSD,H4,2012-04-17 12:00,L,A,89,Y,EU,300,Big,,A
36,a-035,GBPUSD,H4,2012-08-20 20:00,L,A/B,34/89,Y,US,400,Big,,A
37,a-036,AUDUSD,H4,2011-11-21 12:00,S,C,W13,N,EU,150,Good,late trend but H4 persisted,C
38,a-037,AUDUSD,M1,2012-11-14 00:20,L,A,89,Y,Asia,25,Good,,A
39,a-038,EURJPY,H4,2012-05-29 04:00,S,B,M13/34,Y,Asia,400,Big,,B
40,a-039,USDCHF,M1,2012-11-13 12:22,S,B,W13,Y,EU,25,Good,,B
41,a-040,USDCAD,H4,2012-05-15 16:00,L,B,M13/34,Y,US,350,Big,,B
42,a-041,EURGBP,H4,2011-09-30 04:00,S,A,89,Y,Asia,150,Big,then sharp reversal,A
43,a-042,EURUSD,M1,2012-11-13 05:27,S,A,89,Y,Asia,10,Small,,A
44,a-043,EURUSD,H4,2012-09-10 04:00,L,C,W13,N,Asia,300,Big,D1 trend carried it,C
45,a-044,GBPCHF,H4,2012-04-18 00:00,L,B,M34,Y,Asia,400,Big,,B
46,a-045,GBPJPY,H4,2012-05-29 16:00,S,B,M34,Y,US,500,Big,,B
47,a-046,EURCAD,H4,2012-09-14 08:00,L,C,W13,N,EU,200,Good,then full reversal,C
48,a-047,NZDUSD,H4,2012-05-02 04:00,S,A,89,Y,Asia,700,Big,compression then breakout,A
49,a-048,USDCHF,D1,2011-05-20,S,B,M34,Y,-,1500,Big,,B
50,a-049,GBPUSD,D1,2010-05-04,S,B,S34/89,Y,-,1000,Big,,B
51,b-000,GBPUSD,H4,2012-05-22 04:00,S,B,M13/34,N,Asia,400,Big,DPI still positive at fire,B
52,b-001,EURUSD,D1,2010-01-11,S,A/B,34/89,Y,-,2000,Big,,A
53,b-002,EURJPY,D1,2011-03-24,L,B,S34/89,Y,-,800,Big,,B
54,b-003,USDJPY,D1,2012-03-08,L,C,W13,N,-,250,Good,then major top,C
55,b-004,USDCAD,D1,2009-10-01,S,B,M34,Y,-,500,Good,then back to entry,B
56,b-005,EURGBP,D1,2012-03-30,S,A,34/89,Y,-,500,Big,,A
57,b-006,EURAUD,D1,2011-12-09,S,B,M13/34,Y,-,800,Big,,B
58,b-007,EURCHF,D1,2011-05-03,S,A,89,Y,-,2500,Big,compression then breakout,A
59,b-008,GBPCHF,D1,2010-11-29,S,B,M13/34,Y,-,1000,Big,,B
60,b-009,GBPJPY,D1,2008-10-06,S,C,W13,N,-,3000,Big,2008 crash,C
61,b-010,GBPJPY,D1,2006-07-31,L,B,M13/34,Y,-,1700,Big,,B
62,b-011,EURCAD,D1,2012-07-03,S,B,M13/34,Y,-,600,Big,,B
63,b-012,NZDUSD,D1,2008-09-25,S,B,M34,Y,-,1500,Big,,B
64,b-013,USDCHF,M1,2012-11-13 02:44,L,D,M34,Y,Asia,10,Small,,D
65,b-014,GBPUSD,M1,2012-11-13 10:15,L,A,89,Y,EU,30,Good,,A
66,b-015,AUDUSD,M1,2012-11-14 16:23,S,A,M34,Y,US,25,Good,,A
67,b-016,EURUSD,M1,2012-11-14 03:03,L,A,89,Y,Asia,15,Small,,A
68,b-017,EURJPY,M1,2012-11-13 02:46,S,B,M13/34,Y,Asia,30,Good,,B
69,b-018,USDJPY,M1,2012-11-13 04:44,S,D,M13/34,Y,Asia,12,Small,,D
70,b-019,USDCHF,M5,2012-11-02 05:35,L,A,89,Y,Asia/EU,60,Big,same as #11,A
71,b-020,GBPUSD,M5,2012-11-07 12:55,S,B,M13/34,Y,EU,30,Good,,B
72,b-021,AUDUSD,M5,2012-11-09 00:15,S,B,M13/34,Y,Asia,25,Small,then strong reversal,B
73,b-022,EURUSD,M5,2012-11-09 03:00,L,A,89,Y,Asia,40,Good,,A
74,b-023,EURJPY,M5,2012-11-05 08:40,S,A,89,Y,EU,60,Big,,A
75,b-024,USDJPY,M5,2012-11-13 00:15,L,C,W13,N,Asia,10,Scratch,"late trend, reversed hard",C
76,b-025,USDCHF,M5,2012-11-01 08:05,L,A,89,Y,EU,20,Small,spike then chop,A
77,b-026,GBPUSD,M5,2012-11-06 18:55,L,A,89,Y,US,40,Good,,A
78,b-027,AUDUSD,M5,2012-11-01 14:50,L,C,W13/34,N,US,30,Small,,C
79,b-028,EURUSD,M5,2012-11-01 07:35,S,A,89,Y,EU,30,Good,,A
80,b-029,EURJPY,M5,2012-10-26 07:35,S,B,M13/34,Y,EU,20,Good,"-20, retest, then -70",B
81,b-030,USDCHF,M5,2012-10-23 12:00,L,A,M34,Y,EU,40,Good,then +80,A
82,b-031,GBPUSD,M5,2012-11-02 13:30,S,A,89,Y,US,70,Big,,A
83,b-032,AUDUSD,M5,2012-10-29 16:00,S,B,M34,Y,US,25,Good,,B
84,b-033,EURUSD,M5,2012-10-23 13:35,S,B,M34,Y,US,40,Good,,B
85,b-034,EURJPY,M5,2012-10-25 07:00,L,B,M34,Y,EU,50,Good,,B
86,b-035,USDCHF,M5,2012-10-19 09:45,L,A,M34,Y,EU,25,Small,"then chop, later +60",A
87,b-036,GBPUSD,M5,2012-10-24 11:55,L,B,M34,Y,EU,50,Good,,B
88,b-037,AUDUSD,M5,2012-10-25 07:20,L,B,M34/89,Y,EU,25,Small,then chop,B
89,b-038,EURUSD,H1,2012-08-22 11:00,L,A/B,M34,Y,EU,100,Big,,A
90,b-039,EURJPY,M5,2012-10-23 14:00,S,B,M34,Y,US,50,Good,,B
91,b-040,USDCHF,M5,2012-10-18 20:00,L,A,W13,Y,US,20,Small,choppy pre-context,A
92,b-041,GBPUSD,M5,2012-10-05 15:35,S,A,89,Y,US,30,Good,+100 on weekend gap,A
93,b-042,AUDUSD,M5,2012-10-23 08:15,S,A,89,Y,EU,70,Big,,A
94,b-043,EURUSD,M5,2012-10-17 01:05,L,C,W13,N,Asia,10,Scratch,post-climax spike,C
95,b-044,EURJPY,M5,2012-10-12 16:50,S,A,89,Y,US,25,Small,"late Friday, reversed",A
96,b-045,USDCHF,M15,2012-09-14 11:45,S,B,M34,Y,EU,50,Good,,B
97,b-046,GBPUSD,M15,2012-08-28 02:45,S,B,M34/89,Y,Asia,30,Small,then reversal,B
98,b-047,AUDUSD,M15,2012-10-16 22:00,L,A,89,Y,Asia,100,Big,same as #13,A
99,b-048,EURUSD,M15,2012-10-01 00:45,S,B,M13/34,Y,Asia,25,Small,then reversal,B
100,b-049,EURJPY,M15,2012-10-09 15:00,S,B,M34,Y,US,80,Good,,B
